time,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.fluid_pressure,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.temperature,field.alt_error,field.aspd_error,field.xtrack_error,field.wp_dist,field.measured.pitch,field.measured.roll,field.measured.yaw,field.airspeed,label
46:37.3,-0.16,0.142,-0.031,-1.8828768,0.77472535,6.44296905,97464.20898,139000.0,-127000.0,-476000.0,41.64,2.579999924,-232.0585327,-253.6365662,45.0,-12.78331757,13.83546448,-42.66008377,0,0
46:37.4,-0.14,0.138,-0.03,-1.868166825,0.769822025,6.114446275,97465.75927,145500.0,-124500.0,-472500.0,41.64,2.960000038,-232.0585327,-252.3939362,47.0,-12.78331757,13.83546448,-42.66008377,0,0
46:37.4,-0.12,0.134,-0.029,-1.85345685,0.7649187,5.7859235,97467.30957,152000.0,-122000.0,-469000.0,41.64,3.379999876,-220.5501556,-251.1681824,48.0,-15.72579861,10.68664265,-41.94359589,0,0
46:37.4,-0.135333333,0.133666667,-0.032666667,-1.866532383,0.438030367,6.204340567,97468.4611,156333.3333,-120666.6667,-467000.0,41.64,3.379999876,-220.5501556,-251.1681824,48.0,-15.72579861,10.68664265,-41.94359589,0,0
46:37.5,-0.150666667,0.133333333,-0.036333333,-1.879607917,0.111142033,6.622757633,97469.61263,160666.6667,-119333.3333,-465000.0,41.64,3.379999876,-220.5501556,-251.1681824,48.0,-15.72579861,10.68664265,-41.94359589,0,0
46:37.5,-0.166,0.133,-0.04,-1.89268345,-0.2157463,7.0411747,97470.76416,165000.0,-118000.0,-463000.0,41.64,3.829999924,-220.5501556,-249.9593811,50.0,-15.72579861,10.68664265,-41.94359589,0,0
46:37.6,-0.2355,0.1385,-0.0305,-1.8632635,-0.20593965,7.42363405,97473.58704,169000.0,-115000.0,-460500.0,41.635,3.829999924,-220.5501556,-249.9593811,50.0,-15.72579861,10.68664265,-41.94359589,0,0
46:37.6,-0.305,0.144,-0.021,-1.83384355,-0.196133,7.8060934,97476.40991,173000.0,-112000.0,-458000.0,41.63,3.829999924,-220.5501556,-249.9593811,50.0,-15.72579861,10.68664265,-41.94359589,0,0
46:37.6,-0.291666667,0.139,-0.015666667,-1.8436502,0.192864117,7.93357985,97478.53393,175000.0,-109000.0,-457666.6667,41.63,4.309999943,-214.7727966,-248.7505493,52.0,-15.72579861,10.68664265,-41.94359589,0,0
46:37.7,-0.278333333,0.134,-0.010333333,-1.85345685,0.581861233,8.0610663,97480.65796,177000.0,-106000.0,-457333.3333,41.63,4.554999829,-214.7727966,-248.141922,52.5,-15.72579861,10.68664265,-41.94359589,0,0
46:37.7,-0.265,0.129,-0.005,-1.8632635,0.97085835,8.18855275,97482.78198,179000.0,-103000.0,-457000.0,41.63,4.799999714,-214.7727966,-247.5332947,53.0,-15.72579861,10.68664265,-41.94359589,0,0
46:37.8,-0.244,0.149,-0.0165,-1.976039975,0.485429175,7.614863725,97485.8429,185000.0,-99000.0,-454000.0,41.63,4.799999714,-214.7727966,-247.5332947,53.0,-17.3113246,8.28744364,-41.86539078,0,0
46:37.8,-0.223,0.169,-0.028,-2.08881645,8.62e-16,7.0411747,97488.90381,191000.0,-95000.0,-451000.0,41.63,4.799999714,-214.7727966,-247.5332947,53.0,-18.89685059,5.888244629,-41.78718567,0,0
46:37.8,-0.219,0.161666667,-0.034666667,-2.043052083,0.24516625,6.65871535,97490.32796,193333.3333,-92333.33333,-449333.3333,41.62666667,5.309999943,-288.1774902,-246.3158875,55.0,-18.89685059,5.888244629,-41.78718567,0,0
46:37.9,-0.215,0.154333333,-0.041333333,-1.997287717,0.4903325,6.276256,97491.75212,195666.6667,-89666.66667,-447666.6667,41.62333333,5.309999943,-288.1774902,-246.3158875,55.0,-18.89685059,5.888244629,-41.78718567,0,0
46:37.9,-0.211,0.147,-0.048,-1.95152335,0.73549875,5.89379665,97493.17627,198000.0,-87000.0,-446000.0,41.62,5.579999924,-288.1774902,-245.7114869,56.0,-18.89685059,5.888244629,-41.78718567,0,0
46:38.0,-0.2095,0.1215,-0.059,-2.01036325,0.367749375,6.7273619,97496.49658,201000.0,-82500.0,-445500.0,41.62,5.849999905,-288.1774902,-245.1070862,57.0,-18.89685059,5.888244629,-41.78718567,0,0
46:38.0,-0.208,0.096,-0.07,-2.06920315,9.26e-16,7.56092715,97499.81689,204000.0,-78000.0,-445000.0,41.62,5.849999905,-288.1774902,-245.1070862,57.0,-18.89685059,5.888244629,-41.78718567,0,0
46:38.0,-0.20475,0.089,-0.06625,-2.064299825,0.061291563,7.651638663,97501.75934,204750.0,-76500.0,-445250.0,41.62,6.399999619,-299.3594971,-243.9067535,58.0,-18.89685059,5.888244629,-41.78718567,0,0
46:38.1,-0.2015,0.082,-0.0625,-2.0593965,0.122583125,7.742350175,97503.70178,205500.0,-75000.0,-445500.0,41.62,6.694999695,-299.3594971,-243.2896347,59.0,-18.89685059,5.888244629,-41.78718567,0,0
46:38.1,-0.19825,0.075,-0.05875,-2.054493175,0.183874688,7.833061688,97505.64423,206250.0,-73500.0,-445750.0,41.62,6.989999771,-299.3594971,-242.6725159,60.0,-18.89685059,5.888244629,-41.78718567,0,0
46:38.2,-0.195,0.068,-0.055,-2.04958985,0.24516625,7.9237732,97507.58667,207000.0,-72000.0,-446000.0,41.62,6.989999771,-299.3594971,-242.6725159,60.0,-21.66061211,1.251852632,-40.74476242,0,0
46:38.2,-0.166,0.098,-0.058,-2.1182364,0.04903325,7.7668668,97514.09302,210000.0,-63000.0,-441000.0,41.61,7.294999838,-299.5499573,-242.0554429,61.0,-21.66061211,1.251852632,-40.74476242,0,0
46:38.2,-0.128,0.082333333,-0.058333333,-2.131311933,0.052302133,7.799555633,97517.0044,210666.6667,-61333.33333,-442666.6667,41.61,7.599999905,-299.7404175,-241.4383698,62.0,-21.66061211,1.251852632,-40.74476242,0,0
46:38.3,-0.09,0.066666667,-0.058666667,-2.144387467,0.055571017,7.832244467,97519.91577,211333.3333,-59666.66667,-444333.3333,41.61,7.599999905,-299.7404175,-241.4383698,62.0,-21.66061211,1.251852632,-40.74476242,0,0
46:38.3,-0.052,0.051,-0.059,-2.157463,0.0588399,7.8649333,97522.82715,212000.0,-58000.0,-446000.0,41.61,8.229999542,-299.7404175,-240.2210083,63.0,-21.66061211,1.251852632,-40.74476242,0,0
46:38.4,-0.030333333,0.044666667,-0.049333333,-2.157463,0.045764367,7.95319315,97526.08236,213000.0,-55666.66667,-444333.3333,41.61,8.229999542,-299.7404175,-240.2210083,63.0,-21.66061211,1.251852632,-40.74476242,0,0
46:38.4,-0.008666667,0.038333333,-0.039666667,-2.157463,0.032688833,8.041453,97529.33756,214000.0,-53333.33333,-442666.6667,41.61,8.88999939,-316.3942261,-238.9699402,65.0,-21.66061211,1.251852632,-40.74476242,0,0
46:38.4,0.013,0.032,-0.03,-2.157463,0.0196133,8.12971285,97532.59277,215000.0,-51000.0,-441000.0,41.61,8.88999939,-316.3942261,-238.9699402,65.0,-21.66061211,1.251852632,-40.74476242,0,0
46:38.5,0.004,0.055,-0.0245,-2.16726965,0.004903325,7.79628675,97535.54382,217500.0,-50500.0,-439500.0,41.605,8.88999939,-316.3942261,-238.9699402,65.0,-21.66061211,1.251852632,-40.74476242,0,0
46:38.5,-0.005,0.078,-0.019,-2.1770763,-0.00980665,7.46286065,97538.49487,220000.0,-50000.0,-438000.0,41.6,9.559999466,-316.3942261,-237.7187805,67.0,-21.66061211,1.251852632,-40.74476242,0,0
46:38.6,0.051,0.0615,0.0045,-2.2163029,-0.1569064,7.820803375,97542.71546,219500.0,-51500.0,-438500.0,41.6,9.559999466,-316.3942261,-237.7187805,67.0,-21.66061211,1.251852632,-40.74476242,0,0
46:38.6,0.107,0.045,0.028,-2.2555295,-0.30400615,8.1787461,97546.93604,219000.0,-53000.0,-439000.0,41.6,9.559999466,-316.3942261,-237.7187805,67.0,-23.38151932,0.02098757,-39.71207047,0,0
46:38.6,0.096333333,0.029,0.038,-2.258798383,-0.199401883,8.371610217,97549.94914,216666.6667,-54666.66667,-441000.0,41.59666667,9.914999483,-320.0263062,-237.0890274,67.5,-23.38151932,0.02098757,-39.71207047,0,0
46:38.7,0.085666667,0.013,0.048,-2.262067267,-0.094797617,8.564474333,97552.96224,214333.3333,-56333.33333,-443000.0,41.59333333,10.2699995,-323.6583862,-236.4592743,68.0,-23.38151932,0.02098757,-39.71207047,0,0
46:38.7,0.075,-0.003,0.058,-2.26533615,0.00980665,8.75733845,97555.97534,212000.0,-58000.0,-445000.0,41.59,10.98999977,-323.6583862,-235.1997223,70.0,-23.38151932,0.02098757,-39.71207047,0,0
46:38.8,0.0635,-0.0055,0.0595,-2.2359162,0.196133,8.63965865,97558.78601,209500.0,-60000.0,-445000.0,41.59,10.98999977,-323.6583862,-235.1997223,70.0,-23.38151932,0.02098757,-39.71207047,0,0
46:38.8,0.052,-0.008,0.061,-2.20649625,0.38245935,8.52197885,97561.59668,207000.0,-62000.0,-445000.0,41.59,11.72999954,-344.1240234,-233.9317627,72.0,-23.38151932,0.02098757,-39.71207047,0,0
46:38.8,0.036,-0.019333333,0.059666667,-2.24572285,0.209208533,8.77695175,97565.12044,202000.0,-63666.66667,-449333.3333,41.59,11.72999954,-344.1240234,-233.9317627,72.0,-23.38151932,0.02098757,-39.71207047,0,0
46:38.9,0.02,-0.030666667,0.058333333,-2.28494945,0.035957717,9.03192465,97568.64421,197000.0,-65333.33333,-453666.6667,41.59,12.10499954,-344.1240234,-233.293541,73.0,-23.38151932,0.02098757,-39.71207047,0,0
46:38.9,0.004,-0.042,0.057,-2.32417605,-0.1372931,9.28689755,97572.16797,192000.0,-67000.0,-458000.0,41.59,12.47999954,-344.1240234,-232.6553192,74.0,-23.38151932,0.02098757,-39.71207047,0,0
46:39.0,-0.009,-0.049666667,0.054333333,-2.311100517,0.1176798,9.205175467,97575.15462,175333.3333,-66000.0,-468333.3333,41.59,12.47999954,-344.1240234,-232.6553192,74.0,-23.38151932,0.02098757,-39.71207047,0,0
46:39.0,-0.022,-0.057333333,0.051666667,-2.298024983,0.3726527,9.123453383,97578.14128,158666.6667,-65000.0,-478666.6667,41.59,12.47999954,-344.1240234,-232.6553192,74.0,-23.38151932,0.02098757,-39.71207047,0,0
46:39.0,-0.035,-0.065,0.049,-2.28494945,0.6276256,9.0417313,97581.12793,142000.0,-64000.0,-489000.0,41.59,12.86499977,-353.068634,-232.0043869,74.5,-23.254179,1.202178389,-40.52861405,0,0
46:39.1,-0.055,-0.103,0.043,-2.260432825,0.995374975,9.478127225,97587.94251,109500.0,-62500.0,-516000.0,41.585,13.25,-362.0132446,-231.3534546,75.0,-23.12683868,2.383369207,-41.34515762,0,0
46:39.1,-0.075,-0.141,0.037,-2.2359162,1.36312435,9.91452315,97594.75708,77000.0,-61000.0,-543000.0,41.58,14.00999928,-362.0132446,-230.0685883,77.0,-23.12683868,2.383369207,-41.34515762,0,0
46:39.2,-0.0875,-0.1605,0.005,-2.123139725,1.044408225,10.77750835,97599.646,29000.0,-57000.0,-577000.0,41.58,14.00999928,-362.0132446,-230.0685883,77.0,-23.12683868,2.383369207,-41.34515762,0,0
46:39.2,-0.1,-0.18,-0.027,-2.01036325,0.7256921,11.64049355,97604.53491,-19000.0,-53000.0,-611000.0,41.58,14.38999939,-373.4917602,-229.4091568,78.0,-23.12683868,2.383369207,-41.34515762,0,0
46:39.2,-0.121666667,-0.183333333,-0.035,-1.99074995,0.7649187,11.92815528,97605.63354,-57333.33333,-49333.33333,-638000.0,41.58,14.7699995,-384.9702759,-228.7497253,79.0,-23.12683868,2.383369207,-41.34515762,0,0
46:39.3,-0.143333333,-0.186666667,-0.043,-1.97113665,0.8041453,12.21581702,97606.73218,-95666.66667,-45666.66667,-665000.0,41.58,14.9574995,-384.9702759,-228.4221687,79.5,-23.12683868,2.383369207,-41.34515762,0,0
46:39.3,-0.165,-0.19,-0.051,-1.95152335,0.8433719,12.50347875,97607.83081,-134000.0,-42000.0,-692000.0,41.58,15.1449995,-384.9702759,-228.0946121,80.0,-23.12683868,2.383369207,-41.34515762,0,0
46:39.4,-0.121,-0.2015,-0.0575,-1.8240369,0.603108975,12.8859381,97614.61487,-185500.0,-35000.0,-729500.0,41.575,15.5199995,-384.9702759,-227.4394989,81.0,-20.48263168,0.650043964,-41.09395218,0,0
46:39.4,-0.077,-0.213,-0.064,-1.69655045,0.36284605,13.26839745,97621.39893,-237000.0,-28000.0,-767000.0,41.57,15.5199995,-384.9702759,-227.4394989,81.0,-20.48263168,0.650043964,-41.09395218,0,0
46:39.4,-0.058,-0.223666667,-0.066666667,-1.693281567,0.356308283,13.49721928,97624.91455,-281666.6667,-23000.0,-801333.3333,41.57,15.75999959,-394.1922404,-226.9914754,81.66666667,-20.48263168,0.650043964,-41.09395218,0,0
46:39.5,-0.039,-0.234333333,-0.069333333,-1.690012683,0.349770517,13.72604112,97628.43018,-326333.3333,-18000.0,-835666.6667,41.57,15.99999968,-403.4142049,-226.543452,82.33333333,-20.48263168,0.650043964,-41.09395218,0,0
46:39.5,-0.02,-0.245,-0.072,-1.6867438,0.34323275,13.95486295,97631.9458,-371000.0,-13000.0,-870000.0,41.57,16.23999977,-412.6361694,-226.0954285,83.0,-20.48263168,0.650043964,-41.09395218,0,0
46:39.6,0.0,-0.261,-0.0625,-1.46119085,0.26477955,14.48442205,97636.05347,-472000.0,-4500.0,-943500.0,41.57,16.94000053,-412.6361694,-224.7260437,85.0,-20.48263168,0.650043964,-41.09395218,0,0
46:39.6,0.02,-0.277,-0.053,-1.2356379,0.18632635,15.01398115,97640.16113,-573000.0,4000.0,-1017000.0,41.57,16.94000053,-412.6361694,-224.7260437,85.0,-20.48263168,0.650043964,-41.09395218,0,0
46:39.6,0.045,-0.285,-0.037,-1.14737805,0.201036325,15.2787607,97646.50269,-379500.0,5500.0,-1307500.0,41.57,17.26000023,-436.9941712,-224.0371093,86.0,-20.48263168,0.650043964,-41.09395218,0,0
46:39.7,0.07,-0.293,-0.021,-1.0591182,0.2157463,15.54354025,97652.84424,-186000.0,7000.0,-1598000.0,41.57,17.57999992,-461.3521729,-223.348175,87.0,-20.48263168,0.650043964,-41.09395218,0,0
46:39.7,0.067,-0.299,-0.004666667,-0.9610517,0.196133,15.85408417,97654.80754,-845666.6667,19000.0,-1028333.333,41.56666667,17.88999939,-461.3521729,-222.6380691,87.5,-17.59641552,0.617404729,-40.48609543,0,0
46:39.8,0.064,-0.305,0.011666667,-0.8629852,0.1765197,16.16462808,97656.77083,-1505333.333,31000.0,-458666.6667,41.56333333,18.19999886,-461.3521729,-221.9279633,88.0,-14.71019936,0.584765494,-39.87823868,0,0
46:39.8,0.061,-0.311,0.028,-0.7649187,0.1569064,16.475172,97658.73413,-2165000.0,43000.0,111000.0,41.56,18.19999886,-461.3521729,-221.9279633,88.0,-14.71019936,0.584765494,-39.87823868,0,0
46:39.8,0.034666667,-0.318333333,0.036333333,-0.693003267,0.173250817,16.77590927,97662.93945,-2327000.0,47000.0,785666.6667,41.56,18.46999932,-485.9298707,-221.2094498,89.0,-14.71019936,0.584765494,-39.87823868,0,0
46:39.9,0.008333333,-0.325666667,0.044666667,-0.621087833,0.189595233,17.07664653,97667.14478,-2489000.0,51000.0,1460333.333,41.56,18.73999977,-510.5075684,-220.4909363,90.0,-14.71019936,0.584765494,-39.87823868,0,0
