time,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.fluid_pressure,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.temperature,fault_state,field.alt_error,field.aspd_error,field.xtrack_error,field.wp_dist,field.measured.pitch,field.measured.roll,field.measured.yaw,field.airspeed
34:21.2,-0.066,-0.258,-0.248,-0.99047165,0.9218251,12.5917386,97578.01514,169000,-361000,-293000,41.4,0,1.679999948,-212.0138245,-39.12506866,45,-13.01584053,43.94501877,-55.04821777,0
34:21.3,-0.075,-0.252,-0.2755,-1.005181625,0.784532,12.7878716,97581.30799,168500,-358500,-294500,41.395,0,1.969999909,-212.0138245,-37.32989883,47,-13.01584053,43.94501877,-55.04821777,0
34:21.3,-0.084,-0.246,-0.303,-1.0198916,0.6472389,12.9840046,97584.60083,168000,-356000,-296000,41.39,0,1.969999909,-212.0138245,-37.32989883,47,-13.01584053,43.94501877,-55.04821777,0
34:21.4,-0.063333333,-0.267666667,-0.298,-1.0002783,0.634163367,12.71595617,97586.3973,169000,-354000,-300000,41.39,0,2.11499995,-222.3136902,-36.45985603,48,-13.01584053,43.94501877,-55.04821777,0
34:21.4,-0.042666667,-0.289333333,-0.293,-0.980665,0.621087833,12.44790773,97588.19376,170000,-352000,-304000,41.39,0,2.25999999,-232.6135559,-35.58981323,49,-13.01584053,43.94501877,-55.04821777,0
34:21.4,-0.022,-0.311,-0.288,-0.9610517,0.6080123,12.1798593,97589.99023,171000,-350000,-308000,41.39,0,2.25999999,-232.6135559,-35.58981323,49,-13.01584053,43.94501877,-55.04821777,0
34:21.5,0.01,-0.308,-0.2845,-0.926728425,0.6668522,12.3759923,97590.49683,171500,-347500,-309500,41.39,0,2.559999943,-263.5183411,-33.84954834,50,-13.01584053,43.94501877,-55.04821777,0
34:21.5,0.042,-0.305,-0.281,-0.89240515,0.7256921,12.5721253,97591.00342,172000,-345000,-311000,41.39,0,2.559999943,-263.5183411,-33.84954834,50,-13.01584053,43.94501877,-55.04821777,0
34:21.6,0.0205,-0.29625,-0.281,-0.877695175,0.747757063,12.55741533,97593.02674,172750,-343750,-311750,41.3875,0,2.709999919,-263.5183411,-33.00105286,51,-13.01584053,43.94501877,-55.04821777,0
34:21.6,-0.001,-0.2875,-0.281,-0.8629852,0.769822025,12.54270535,97595.05005,173500,-342500,-312500,41.385,0,2.859999895,-263.5183411,-32.15255737,52,-13.01584053,43.94501877,-55.04821777,0
34:21.6,-0.0225,-0.27875,-0.281,-0.848275225,0.791886988,12.52799538,97597.07337,174250,-341250,-313250,41.3825,0,2.959999879,-270.3755697,-31.58946609,52.66666667,-12.99798171,43.24887339,-51.51507441,0
34:21.7,-0.044,-0.27,-0.281,-0.83356525,0.81395195,12.5132854,97599.09668,175000,-340000,-314000,41.38,0,3.059999863,-277.2327983,-31.02637482,53.33333333,-12.98012288,42.55272802,-47.98193105,0
34:21.7,-0.029,-0.247,-0.264,-0.7649187,0.73549875,13.9646696,97602.87476,176000,-336000,-314000,41.38,0,3.159999847,-284.0900269,-30.46328354,54,-12.96226406,41.85658264,-44.44878769,0
34:21.8,0.023333333,-0.287666667,-0.269666667,-0.768187583,0.8237586,13.59528578,97604.67326,176666.6667,-331666.6667,-319000,41.37666667,0,3.314999938,-284.0900269,-29.64028359,54.5,-12.96226406,41.85658264,-44.44878769,0
34:21.8,0.075666667,-0.328333333,-0.275333333,-0.771456467,0.91201845,13.22590197,97606.47176,177333.3333,-327333.3333,-324000,41.37333333,0,3.470000029,-284.0900269,-28.81728363,55,-12.96226406,41.85658264,-44.44878769,0
34:21.8,0.128,-0.369,-0.281,-0.77472535,1.0002783,12.85651815,97608.27026,178000,-323000,-329000,41.37,0,3.620000005,-298.4414063,-28.00407696,56,-12.96226406,41.85658264,-44.44878769,0
34:21.9,0.078,-0.395666667,-0.290333333,-0.7453054,0.99047165,13.5527903,97610.16439,178666.6667,-321666.6667,-331333.3333,41.37,0,3.769999981,-312.7927856,-27.19087029,57,-12.96226406,41.85658264,-44.44878769,0
34:21.9,0.028,-0.422333333,-0.299666667,-0.71588545,0.980665,14.24906245,97612.05851,179333.3333,-320333.3333,-333666.6667,41.37,0,3.842499972,-312.7927856,-26.79508496,57.25,-12.96226406,41.85658264,-44.44878769,0
34:22.0,-0.022,-0.449,-0.309,-0.6864655,0.97085835,14.9453346,97613.95264,180000,-319000,-336000,41.37,0,3.914999962,-312.7927856,-26.39929963,57.5,-12.96226406,41.85658264,-44.44878769,0
34:22.0,0.0055,-0.408,-0.32,-0.63743225,1.054214875,14.89630135,97618.01453,178000,-318500,-334500,41.37,0,3.987499953,-312.7927856,-26.00351429,57.75,-12.96226406,41.85658264,-44.44878769,0
34:22.0,0.033,-0.367,-0.331,-0.588399,1.1375714,14.8472681,97622.07642,176000,-318000,-333000,41.37,0,4.059999943,-312.7927856,-25.60772896,58,-12.96226406,41.85658264,-44.44878769,0
34:22.1,0.039,-0.379,-0.335333333,-0.57859235,1.095075917,14.91918353,97622.08659,174666.6667,-314666.6667,-338333.3333,41.37,0,4.349999905,-312.7927856,-24.05996895,60,-11.45531178,41.09225082,-33.49219131,0
34:22.1,0.045,-0.391,-0.339666667,-0.5687857,1.052580433,14.99109897,97622.09676,173333.3333,-311333.3333,-343666.6667,41.37,0,4.349999905,-312.7927856,-24.05996895,60,-11.45531178,41.09225082,-33.49219131,0
34:22.2,0.051,-0.403,-0.344,-0.55897905,1.01008495,15.0630144,97622.10693,172000,-308000,-349000,41.37,0,4.48000002,-304.4279175,-23.32155514,60.5,-11.45531178,41.09225082,-33.49219131,0
34:22.2,0.02,-0.376,-0.348666667,-0.516483567,0.830296367,15.60891792,97626.2268,171333.3333,-305000,-351333.3333,41.36666667,0,4.610000134,-296.0630493,-22.58314133,61,-11.45531178,41.09225082,-33.49219131,0
34:22.2,-0.011,-0.349,-0.353333333,-0.473988083,0.650507783,16.15482143,97630.34668,170666.6667,-302000,-353666.6667,41.36333333,0,4.73000002,-312.9385986,-21.87429142,62,-11.45531178,41.09225082,-33.49219131,0
34:22.3,-0.042,-0.322,-0.358,-0.4314926,0.4707192,16.70072495,97634.46655,170000,-299000,-356000,41.36,0,4.849999905,-329.8141479,-21.16544151,63,-11.45531178,41.09225082,-33.49219131,0
34:22.3,-0.032,-0.396,-0.34,-0.392266,0.196133,17.259704,97634.46655,170000,-299000,-356000,41.36,0,4.849999905,-329.8141479,-21.16544151,63,-11.45531178,41.09225082,-33.49219131,0
34:22.4,0.0155,-0.3975,-0.311,-0.3530394,0.269682875,17.16899249,97633.461,170250,-296250,-357750,41.36,0,5.059999943,-329.8141479,-19.79878616,64,-11.45531178,41.09225082,-33.49219131,0
34:22.4,0.063,-0.399,-0.282,-0.3138128,0.34323275,17.07828098,97632.45545,170500,-293500,-359500,41.36,0,5.059999943,-329.8141479,-19.79878616,64,-11.45531178,41.09225082,-33.49219131,0
34:22.4,0.1105,-0.4005,-0.253,-0.2745862,0.416782625,16.98756946,97631.44989,170750,-290750,-361250,41.36,0,5.059999943,-329.8141479,-19.79878616,64,-11.45531178,41.09225082,-33.49219131,0
34:22.5,0.158,-0.402,-0.224,-0.2353596,0.4903325,16.89685795,97630.44434,171000,-288000,-363000,41.36,0,5.239999771,-367.2941284,-18.5150032,66,-11.45531178,41.09225082,-33.49219131,0
34:22.5,0.0825,-0.4225,-0.19,-0.220649625,0.779628675,17.08808763,97634.23157,168500,-284000,-369000,41.355,0,5.239999771,-367.2941284,-18.5150032,66,-9.175800323,40.67550659,-19.82514,0
34:22.6,0.007,-0.443,-0.156,-0.20593965,1.06892485,17.2793173,97638.0188,166000,-280000,-375000,41.35,0,5.309999943,-367.2941284,-17.91644192,66.5,-9.175800323,40.67550659,-19.82514,0
34:22.6,-0.053666667,-0.433,-0.169333333,-0.261510667,1.1375714,17.23028405,97640.49276,164333.3333,-280666.6667,-374333.3333,41.35,0,5.380000114,-367.2941284,-17.31788063,67,-9.175800323,40.67550659,-19.82514,0
34:22.6,-0.114333333,-0.423,-0.182666667,-0.317081683,1.20621795,17.1812508,97642.96671,162666.6667,-281333.3333,-373666.6667,41.35,0,5.380000114,-367.2941284,-17.31788063,67,-9.175800323,40.67550659,-19.82514,0
34:22.7,-0.175,-0.413,-0.196,-0.3726527,1.2748645,17.13221755,97645.44067,161000,-282000,-373000,41.35,0,5.489999771,-419.8776245,-16.17591095,68,-9.175800323,40.67550659,-19.82514,0
34:22.7,-0.2115,-0.374,-0.2395,-0.436395925,1.044408225,15.8083198,97645.4834,155500,-281500,-378000,41.345,0,5.489999771,-419.8776245,-16.17591095,68,-9.175800323,40.67550659,-19.82514,0
34:22.8,-0.248,-0.335,-0.283,-0.50013915,0.81395195,14.48442205,97645.52612,150000,-281000,-383000,41.34,0,5.489999771,-419.8776245,-16.17591095,68,-9.175800323,40.67550659,-19.82514,0
34:22.8,-0.196333333,-0.35,-0.288666667,-0.483794733,0.8629852,15.21665192,97644.80591,144666.6667,-277000,-384666.6667,41.34,0,5.559999943,-419.8776245,-15.13253498,70,-9.175800323,40.67550659,-19.82514,0
34:22.8,-0.144666667,-0.365,-0.294333333,-0.467450317,0.91201845,15.94888178,97644.08569,139333.3333,-273000,-386333.3333,41.34,0,5.559999943,-419.8776245,-15.13253498,70,-6.468956947,37.85587311,-12.46274567,0
34:22.9,-0.093,-0.38,-0.3,-0.4511059,0.9610517,16.68111165,97643.36548,134000,-269000,-388000,41.34,0,5.619999886,-419.8776245,-14.13255787,71,-6.468956947,37.85587311,-12.46274567,0
34:22.9,-0.051,-0.278,-0.334,-0.6668522,1.0002783,15.102241,97648.31543,135000,-255000,-412000,41.34,0,5.619999886,-419.8776245,-14.13255787,71,-6.468956947,37.85587311,-12.46274567,0
34:23.0,-0.072666667,-0.297,-0.340666667,-0.693003267,0.9022118,14.3961622,97648.96444,134000,-254000,-411333.3333,41.34,0,5.634999991,-433.9516602,-13.68982077,71.5,-6.468956947,37.85587311,-12.46274567,0
34:23.0,-0.094333333,-0.316,-0.347333333,-0.719154333,0.8041453,13.6900834,97649.61344,133000,-253000,-410666.6667,41.34,0,5.650000095,-448.0256958,-13.24708366,72,-6.468956947,37.85587311,-12.46274567,0
34:23.0,-0.116,-0.335,-0.354,-0.7453054,0.7060788,12.9840046,97650.26245,132000,-252000,-410000,41.34,0,5.650000095,-448.0256958,-13.24708366,72,-6.468956947,37.85587311,-12.46274567,0
34:23.1,-0.164,-0.342666667,-0.359,-0.719154333,0.532827983,13.44491715,97650.33569,130333.3333,-248666.6667,-414666.6667,41.33666667,0,5.650000095,-449.1497192,-12.4089222,73,-6.468956947,37.85587311,-12.46274567,0
34:23.1,-0.212,-0.350333333,-0.364,-0.693003267,0.359577167,13.9058297,97650.40894,128666.6667,-245333.3333,-419333.3333,41.33333333,0,5.650000095,-449.1497192,-12.4089222,73,-6.468956947,37.85587311,-12.46274567,0
34:23.2,-0.26,-0.358,-0.369,-0.6668522,0.18632635,14.36674225,97650.48218,127000,-242000,-424000,41.33,0,5.644999981,-449.1497192,-12.03724194,73.5,-6.468956947,37.85587311,-12.46274567,0
34:23.2,-0.123,-0.336,-0.283,-0.661948875,0.0784532,14.35203228,97649.67347,124500,-233500,-433000,41.33,0,5.639999866,-449.1497192,-11.66556168,74,-6.468956947,37.85587311,-12.46274567,0
34:23.2,0.014,-0.314,-0.197,-0.65704555,-0.02941995,14.3373223,97648.86475,122000,-225000,-442000,41.33,0,5.639999866,-449.1497192,-11.66556168,74,-6.468956947,37.85587311,-12.46274567,0
34:23.3,0.004,-0.309,-0.175,-0.653776667,0.16671305,14.03658503,97648.47209,121333.3333,-221666.6667,-442666.6667,41.33,0,5.629999876,-450.3900604,-11.32148314,74.5,-6.468956947,37.85587311,-12.46274567,0
34:23.3,-0.006,-0.304,-0.153,-0.650507783,0.36284605,13.73584777,97648.07943,120666.6667,-218333.3333,-443333.3333,41.33,0,5.619999886,-451.6304016,-10.97740459,75,-6.468956947,37.85587311,-12.46274567,0
34:23.4,-0.016,-0.299,-0.131,-0.6472389,0.55897905,13.4351105,97647.68677,120000,-215000,-444000,41.33,0,5.619999886,-451.6304016,-10.97740459,75,-4.181842327,35.10020065,0.494616091,0
34:23.4,0.0255,-0.286,-0.124,-0.612915625,0.701175475,13.12620103,97649.18213,116500,-215000,-445500,41.325,0,5.589999676,-451.6304016,-10.38802814,76,-4.181842327,35.10020065,0.494616091,0
34:23.4,0.067,-0.273,-0.117,-0.57859235,0.8433719,12.81729155,97650.67749,113000,-215000,-447000,41.32,0,5.564999819,-453.6370239,-10.11702442,77,-4.181842327,35.10020065,0.494616091,0
34:23.5,0.075666667,-0.236,-0.137333333,-0.588399,0.777994233,12.39887448,97650.90739,109000,-212666.6667,-452000,41.32,0,5.539999962,-455.6436462,-9.846020699,78,-4.181842327,35.10020065,0.494616091,0
34:23.5,0.084333333,-0.199,-0.157666667,-0.59820565,0.712616567,11.98045742,97651.13729,105000,-210333.3333,-457000,41.32,0,5.539999962,-455.6436462,-9.846020699,78,-4.181842327,35.10020065,0.494616091,0
34:23.6,0.093,-0.162,-0.178,-0.6080123,0.6472389,11.56204035,97651.36719,101000,-208000,-462000,41.32,0,5.539999962,-455.6436462,-9.846020699,78,-4.181842327,35.10020065,0.494616091,0
34:23.6,-0.0265,-0.1805,-0.179,-0.573689025,0.661948875,11.07170785,97649.7345,98500,-209500,-459500,41.32,0,5.489999771,-455.6436462,-9.383023262,79,-2.213662148,35.46608734,4.528028965,0
34:23.6,-0.146,-0.199,-0.18,-0.53936575,0.67665885,10.58137535,97648.10181,96000,-211000,-457000,41.32,0,5.489999771,-455.6436462,-9.383023262,79,-2.213662148,35.46608734,4.528028965,0
34:23.7,-0.307666667,-0.227333333,-0.166666667,-0.523021333,0.758380933,11.19592542,97647.6766,95333.33333,-212333.3333,-458333.3333,41.31666667,0,5.46999979,-448.7814534,-9.181799889,79.33333333,-2.213662148,35.46608734,4.528028965,0
34:23.7,-0.469333333,-0.255666667,-0.153333333,-0.506676917,0.840103017,11.81047548,97647.25138,94666.66667,-213666.6667,-459666.6667,41.31333333,0,5.449999809,-441.9192606,-8.980576515,79.66666667,-2.213662148,35.46608734,4.528028965,0
34:23.8,-0.631,-0.284,-0.14,-0.4903325,0.9218251,12.42502555,97646.82617,94000,-215000,-461000,41.31,0,5.429999828,-435.0570679,-8.779353142,80,-2.213662148,35.46608734,4.528028965,0
34:23.8,-0.628666667,-0.285333333,-0.153666667,-0.434761483,1.013353833,13.05918892,97646.45182,91666.66667,-207333.3333,-464333.3333,41.31,0,5.419999838,-424.7637787,-8.691266537,80,-2.213662148,35.46608734,4.528028965,0
