time,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.fluid_pressure,field.temperature,field.alt_error,field.aspd_error,field.xtrack_error,field.wp_dist,field.measured,field.measured.1,field.measured.2,fault_state,field.airspeed
10:36.0,0.489666667,0.038,-0.026333333,-0.93163175,0.28439285,9.025386883,41000,140333.3333,-563333.3333,98296.41317,30.19333333,0.099999994,-269.7671814,-465.0845337,20,-2.83128953,9.45710659,-68.20986176,0,0
10:36.0,0.484,0.037,-0.024,-0.9610517,0.26477955,8.9044382,47000,119000,-556000,98296.42944,30.19,0.159999996,-269.7671814,-463.5207214,21,-2.83128953,9.45710659,-68.20986176,0,0
10:36.1,0.476333333,0.048666667,-0.031666667,-1.003547183,0.192864117,8.75733845,53333.33333,94666.66667,-546000,98295.76416,30.19,0.189999998,-264.4668579,-462.7471771,22,-2.83128953,9.45710659,-68.20986176,0,0
10:36.1,0.468666667,0.060333333,-0.039333333,-1.046042667,0.120948683,8.6102387,59666.66667,70333.33333,-536000,98295.09887,30.19,0.219999999,-259.1665344,-461.9736328,23,-2.83128953,9.45710659,-68.20986176,0,0
10:36.2,0.461,0.072,-0.047,-1.08853815,0.04903325,8.46313895,66000,46000,-526000,98294.43359,30.19,0.219999999,-259.1665344,-461.9736328,23,-2.83128953,9.45710659,-68.20986176,0,0
10:36.2,0.546,0.079,-0.04,-1.10815145,0.392266,7.79628675,80000,6000,-502000,98294.56177,30.19,0.219999999,-259.1665344,-461.9736328,23,-4.167690754,19.32643318,-67.95332336,0,0
10:36.2,0.524,0.081,-0.052,-1.1571847,0.3334261,7.832244467,87666.66667,-19333.33333,-493000,98294.41325,30.19,0.269999996,-259.1665344,-461.2086487,23.5,-4.167690754,19.32643318,-67.95332336,0,0
10:36.3,0.502,0.083,-0.064,-1.20621795,0.2745862,7.868202183,95333.33333,-44666.66667,-484000,98294.26473,30.19,0.319999993,-259.1665344,-460.4436646,24,-4.167690754,19.32643318,-67.95332336,0,0
10:36.3,0.48,0.085,-0.076,-1.2552512,0.2157463,7.9041599,103000,-70000,-475000,98294.11621,30.19,0.319999993,-259.1665344,-460.4436646,24,-4.167690754,19.32643318,-67.95332336,0,0
10:36.4,0.471666667,0.09,-0.086333333,-1.28467115,0.192864117,7.79628675,107666.6667,-90000,-466000,98295.51392,30.18666667,0.439999998,-244.0608978,-458.930542,26,-4.167690754,19.32643318,-67.95332336,0,0
10:36.4,0.463333333,0.095,-0.096666667,-1.3140911,0.169981933,7.6884136,112333.3333,-110000,-457000,98296.91162,30.18333333,0.439999998,-244.0608978,-458.930542,26,-4.167690754,19.32643318,-67.95332336,0,0
10:36.4,0.455,0.1,-0.107,-1.34351105,0.14709975,7.58054045,117000,-130000,-448000,98298.30933,30.18,0.579999983,-244.0608978,-457.4343262,28,-4.167690754,19.32643318,-67.95332336,0,0
10:36.5,0.3895,0.0925,-0.1095,-1.397447625,0.28439285,7.85512665,123500,-151500,-434500,98298.01636,30.18,0.579999983,-244.0608978,-457.4343262,28,-4.167690754,19.32643318,-67.95332336,0,0
10:36.5,0.324,0.085,-0.112,-1.4513842,0.42168595,8.12971285,130000,-173000,-421000,98297.72339,30.18,0.579999983,-244.0608978,-457.4343262,28,-4.167690754,19.32643318,-67.95332336,0,0
10:36.6,0.2995,0.0885,-0.111,-1.495514125,0.485429175,7.987516425,137500,-196500,-407500,98300.40284,30.18,0.75,-226.3809204,-455.9550476,29,-6.302436352,28.01226234,-67.37918091,0,0
10:36.6,0.275,0.092,-0.11,-1.53964405,0.5491724,7.84532,145000,-220000,-394000,98303.08228,30.18,0.75,-226.3809204,-455.9550476,29,-6.302436352,28.01226234,-67.37918091,0,0
10:36.6,0.225,0.093,-0.118333333,-1.53964405,0.369383817,7.58054045,150000,-229333.3333,-390666.6667,98302.90731,30.17666667,0.849999994,-226.3809204,-455.2280121,30,-6.302436352,28.01226234,-67.37918091,0,0
10:36.7,0.175,0.094,-0.126666667,-1.53964405,0.189595233,7.3157609,155000,-238666.6667,-387333.3333,98302.73234,30.17333333,0.949999988,-226.3809204,-454.5009766,31,-6.302436352,28.01226234,-67.37918091,0,0
10:36.7,0.125,0.095,-0.135,-1.53964405,0.00980665,7.05098135,160000,-248000,-384000,98302.55737,30.17,1.064999968,-213.666153,-453.7782593,31.5,-6.302436352,28.01226234,-67.37918091,0,0
10:36.8,0.083333333,0.086666667,-0.123,-1.624635017,0.261510667,7.077132417,164666.6667,-255333.3333,-380000,98304.10359,30.17,1.179999948,-200.9513855,-453.055542,32,-6.302436352,28.01226234,-67.37918091,0,0
10:36.8,0.041666667,0.078333333,-0.111,-1.709625983,0.513214683,7.103283483,169333.3333,-262666.6667,-376000,98305.64982,30.17,1.266666611,-200.9513855,-452.5848999,32.66666667,-6.302436352,28.01226234,-67.37918091,0,0
10:36.8,0,0.07,-0.099,-1.79461695,0.7649187,7.12943455,174000,-270000,-372000,98307.19604,30.17,1.353333275,-200.9513855,-452.1142578,33.33333333,-6.302436352,28.01226234,-67.37918091,0,0
10:36.9,-0.1285,0.063,-0.0885,-1.779906975,1.0983448,7.4138274,178500,-277500,-367500,98308.09021,30.17,1.439999938,-200.9513855,-451.6436157,34,-6.302436352,28.01226234,-67.37918091,0,0
10:36.9,-0.257,0.056,-0.078,-1.765197,1.4317709,7.69822025,183000,-285000,-363000,98308.98438,30.17,1.439999938,-200.9513855,-451.6436157,34,-9.165056229,31.61796761,-66.07305908,0,0
10:37.0,-0.198,0.084,-0.1195,-1.7455837,1.42196425,7.477570625,189000,-288000,-365500,98310.79712,30.165,1.74000001,-182.612793,-450.2488709,35,-9.165056229,31.61796761,-66.07305908,0,0
10:37.0,-0.139,0.112,-0.161,-1.7259704,1.4121576,7.256921,195000,-291000,-368000,98312.60986,30.16,1.74000001,-182.612793,-450.2488709,35,-9.165056229,31.61796761,-66.07305908,0,0
10:37.0,-0.04,0.123,-0.178333333,-1.748852583,1.474266383,6.184727267,199666.6667,-293666.6667,-367333.3333,98313.3728,30.16,1.904999972,-182.612793,-449.564148,36,-9.165056229,31.61796761,-66.07305908,0,0
10:37.1,0.059,0.134,-0.195666667,-1.771734767,1.536375167,5.112533533,204333.3333,-296333.3333,-366666.6667,98314.13574,30.16,2.069999933,-182.612793,-448.879425,37,-9.165056229,31.61796761,-66.07305908,0,0
10:37.1,0.158,0.145,-0.213,-1.79461695,1.59848395,4.0403398,209000,-299000,-366000,98314.89868,30.16,2.429999828,-172.8797913,-447.5184631,38,-9.165056229,31.61796761,-66.07305908,0,0
10:37.2,0.087333333,0.145666667,-0.241666667,-1.846919083,1.379468767,4.092641933,214666.6667,-302000,-363000,98317.50488,30.16,2.429999828,-172.8797913,-447.5184631,38,-9.165056229,31.61796761,-66.07305908,0,0
10:37.2,0.016666667,0.146333333,-0.270333333,-1.899221217,1.160453583,4.144944067,220333.3333,-305000,-360000,98320.11109,30.16,2.429999828,-172.8797913,-447.5184631,38,-9.165056229,31.61796761,-66.07305908,0,0
10:37.2,-0.054,0.147,-0.299,-1.95152335,0.9414384,4.1972462,226000,-308000,-357000,98322.71729,30.16,2.639999867,-172.8797913,-446.8506775,39,-10.35237193,30.97574282,-65.33921337,0,0
10:37.3,-0.215,0.115,-0.3285,-1.9221034,0.73549875,6.81562175,233500,-304000,-358500,98324.91761,30.16,2.849999905,-172.8797913,-446.1828918,40,-11.53968763,30.33351803,-64.60536766,0,0
10:37.3,-0.376,0.083,-0.358,-1.89268345,0.5295591,9.4339973,241000,-300000,-360000,98327.11792,30.16,3.079999924,-162.846756,-445.5150604,40.5,-12.72700334,29.69129324,-63.87152195,0,0
10:37.4,-0.320333333,0.089333333,-0.364333333,-1.909027867,0.77472535,9.319586383,246000,-295333.3333,-363000,98330.17375,30.15666667,3.309999943,-152.8137207,-444.847229,41,-13.91431904,29.04906845,-63.13767624,0,0
10:37.4,-0.264666667,0.095666667,-0.370666667,-1.925372283,1.0198916,9.205175467,251000,-290666.6667,-366000,98333.22957,30.15333333,3.789999962,-152.8137207,-443.5369568,43,-13.91431904,29.04906845,-63.13767624,0,0
10:37.4,-0.209,0.102,-0.377,-1.9417167,1.26505785,9.09076455,256000,-286000,-369000,98336.2854,30.15,3.789999962,-152.8137207,-443.5369568,43,-13.91431904,29.04906845,-63.13767624,0,0
10:37.5,-0.224,0.105,-0.3855,-1.956426675,0.6864655,8.271909275,262000,-277500,-371000,98338.59864,30.15,3.789999962,-152.8137207,-443.5369568,43,-13.91431904,29.04906845,-63.13767624,0,0
10:37.5,-0.239,0.108,-0.394,-1.97113665,0.10787315,7.453054,268000,-269000,-373000,98340.91187,30.15,4.034999848,-150.8770905,-442.8818512,43.5,-13.91431904,29.04906845,-63.13767624,0,0
10:37.6,-0.1865,0.0955,-0.378,-1.96133,0.46091255,7.654090325,274500,-263000,-374000,98342.7826,30.145,4.279999733,-148.9404602,-442.2267456,44,-13.91431904,29.04906845,-63.13767624,0,0
10:37.6,-0.134,0.083,-0.362,-1.95152335,0.81395195,7.85512665,281000,-257000,-375000,98344.65332,30.14,4.279999733,-148.9404602,-442.2267456,44,-13.91431904,29.04906845,-63.13767624,0,0
10:37.6,-0.137,0.08075,-0.35025,-1.968684988,0.850726888,8.026743025,284250,-253750,-375250,98346.66901,30.14,4.799999714,-148.9404602,-440.9248352,46,-13.91431904,29.04906845,-63.13767624,0,0
10:37.7,-0.14,0.0785,-0.3385,-1.985846625,0.887501825,8.1983594,287500,-250500,-375500,98348.68469,30.14,4.799999714,-148.9404602,-440.9248352,46,-16.67049837,25.44503117,-59.53421784,0,0
10:37.7,-0.143,0.07625,-0.32675,-2.003008263,0.924276763,8.369975775,290750,-247250,-375750,98350.70038,30.14,4.799999714,-148.9404602,-440.9248352,46,-19.4266777,21.84099388,-55.93075943,0,0
10:37.8,-0.146,0.074,-0.315,-2.0201699,0.9610517,8.54159215,294000,-244000,-376000,98352.71606,30.14,5.339999676,-143.1413574,-439.6399841,47,-19.4266777,21.84099388,-55.93075943,0,0
10:37.8,-0.1395,0.0625,-0.314,-2.044686525,0.5491724,8.811275025,299000,-235500,-377500,98354.80957,30.14,5.339999676,-143.1413574,-439.6399841,47,-19.4266777,21.84099388,-55.93075943,0,0
10:37.8,-0.133,0.051,-0.313,-2.06920315,0.1372931,9.0809579,304000,-227000,-379000,98356.90308,30.14,5.619999886,-143.1413574,-439.00177,48,-19.4266777,21.84099388,-55.93075943,0,0
10:37.9,-0.104666667,0.054333333,-0.311,-2.0986231,0.140561983,8.71811185,306666.6667,-223000,-379666.6667,98360.62826,30.14,5.900000095,-143.1413574,-438.3635559,49,-19.4266777,21.84099388,-55.93075943,0,0
10:37.9,-0.076333333,0.057666667,-0.309,-2.12804305,0.143830867,8.3552658,309333.3333,-219000,-380333.3333,98364.35343,30.14,6.184999943,-148.4918518,-437.7252045,49.5,-19.4266777,21.84099388,-55.93075943,0,0
10:38.0,-0.048,0.061,-0.307,-2.157463,0.14709975,7.99241975,312000,-215000,-381000,98368.07861,30.14,6.46999979,-153.8423462,-437.086853,50,-19.4266777,21.84099388,-55.93075943,0,0
10:38.0,-0.015,0.036,-0.299,-2.22610955,0.67665885,7.9433865,322000,-201000,-382000,98377.09351,30.13,6.46999979,-153.8423462,-437.086853,50,-19.4266777,21.84099388,-55.93075943,0,0
10:38.0,0.004,0.033333333,-0.285666667,-2.248991733,0.532827983,7.518431667,323666.6667,-198000,-382000,98378.78622,30.13,7.059999943,-153.8423462,-435.827301,52,-19.4266777,21.84099388,-55.93075943,0,0
10:38.1,0.023,0.030666667,-0.272333333,-2.271873917,0.388997117,7.093476833,325333.3333,-195000,-382000,98380.47892,30.13,7.059999943,-153.8423462,-435.827301,52,-19.4266777,21.84099388,-55.93075943,0,0
10:38.1,0.042,0.028,-0.259,-2.2947561,0.24516625,6.668522,327000,-192000,-382000,98382.17163,30.13,7.059999943,-153.8423462,-435.827301,52,-23.05462265,17.52244186,-48.85760117,0,0
10:38.2,0.023666667,0.026,-0.236333333,-2.298024983,0.022882183,6.789470683,328666.6667,-189000,-381666.6667,98385.3536,30.13,7.679999828,-118.1066513,-434.5678101,53,-23.05462265,17.52244186,-48.85760117,0,0
10:38.2,0.005333333,0.024,-0.213666667,-2.301293867,-0.199401883,6.910419367,330333.3333,-186000,-381333.3333,98388.53556,30.13,7.679999828,-118.1066513,-434.5678101,53,-23.05462265,17.52244186,-48.85760117,0,0
10:38.2,-0.013,0.022,-0.191,-2.30456275,-0.42168595,7.03136805,332000,-183000,-381000,98391.71753,30.13,7.679999828,-118.1066513,-434.5678101,53,-23.05462265,17.52244186,-48.85760117,0,0
10:38.3,0.037,0.0035,-0.1445,-2.299659425,-0.514849125,7.87473995,335000,-181000,-381000,98395.43152,30.125,8.329999924,-118.1066513,-433.3167419,55,-23.05462265,17.52244186,-48.85760117,0,0
10:38.3,0.087,-0.015,-0.098,-2.2947561,-0.6080123,8.71811185,338000,-179000,-381000,98399.14551,30.12,9.019999504,-120.2859879,-432.082489,56,-23.05462265,17.52244186,-48.85760117,0,0
10:38.4,0.136666667,-0.01,-0.074666667,-2.2947561,-0.30400615,8.897900433,338000,-178333.3333,-380666.6667,98403.5787,30.12,9.019999504,-120.2859879,-432.082489,56,-23.05462265,17.52244186,-48.85760117,0,0
10:38.4,0.186333333,-0.005,-0.051333333,-2.2947561,0,9.077689017,338000,-177666.6667,-380333.3333,98408.01188,30.12,9.019999504,-120.2859879,-432.082489,56,-23.05462265,17.52244186,-48.85760117,0,0
10:38.4,0.236,-3.43E-18,-0.028,-2.2947561,0.30400615,9.2574776,338000,-177000,-380000,98412.44507,30.12,9.019999504,-120.2859879,-432.082489,56,-23.05462265,17.52244186,-48.85760117,0,0
10:38.5,0.1675,-0.0185,0.007,-2.32417605,0.259876225,8.556302125,339500,-181000,-377500,98414.09607,30.115,9.729999542,-120.2859879,-430.856781,58,-23.92508316,18.06865311,-46.06588364,0,0
10:38.5,0.099,-0.037,0.042,-2.353596,0.2157463,7.85512665,341000,-185000,-375000,98415.74707,30.11,10.46000004,-125.5979538,-429.6479797,59,-23.92508316,18.06865311,-46.06588364,0,0
10:38.6,0.043,-0.046333333,0.058,-2.347058233,0.091528733,8.3748791,340666.6667,-186000,-375000,98420.06226,30.11,10.46000004,-125.5979538,-429.6479797,59,-23.92508316,18.06865311,-46.06588364,0,0
10:38.6,-0.013,-0.055666667,0.074,-2.340520467,-0.032688833,8.89463155,340333.3333,-187000,-375000,98424.37744,30.11,10.82999993,-125.5979538,-429.0477295,60,-23.92508316,18.06865311,-46.06588364,0,0
10:38.6,-0.069,-0.065,0.09,-2.3339827,-0.1569064,9.414384,340000,-188000,-375000,98428.69263,30.11,11.19999981,-125.5979538,-428.4474792,61,-23.92508316,18.06865311,-46.06588364,0,0
10:38.7,-0.128,-0.0755,0.0945,-2.34378935,0.122583125,10.15478608,335500,-185500,-377500,98431.79322,30.11,11.19999981,-125.5979538,-428.4474792,61,-23.92508316,18.06865311,-46.06588364,0,0
10:38.7,-0.187,-0.086,0.099,-2.353596,0.40207265,10.89518815,331000,-183000,-380000,98434.8938,30.11,11.19999981,-125.5979538,-428.4474792,61,-23.92508316,18.06865311,-46.06588364,0,0
10:38.8,-0.235666667,-0.080666667,0.088333333,-2.376478183,0.6668522,11.20900095,329333.3333,-179666.6667,-382333.3333,98438.56201,30.11,11.96000004,-134.5819397,-427.2640686,62,-23.92508316,18.06865311,-46.06588364,0,0
10:38.8,-0.284333333,-0.075333333,0.077666667,-2.399360367,0.93163175,11.52281375,327666.6667,-176333.3333,-384666.6667,98442.23023,30.11,11.96000004,-134.5819397,-427.2640686,62,-23.92508316,18.06865311,-46.06588364,0,0
10:38.8,-0.333,-0.07,0.067,-2.42224255,1.1964113,11.83662655,326000,-173000,-387000,98445.89844,30.11,12.33999968,-134.5819397,-426.6764374,63,-23.92508316,18.06865311,-46.06588364,0,0
10:38.9,-0.299666667,-0.063666667,0.032666667,-2.435318083,0.93163175,11.57511588,324000,-168666.6667,-390000,98447.95329,30.10666667,12.71999931,-134.5819397,-426.0888062,64,-23.92508316,18.06865311,-46.06588364,0,0
10:38.9,-0.266333333,-0.057333333,-0.001666667,-2.448393617,0.6668522,11.31360522,322000,-164333.3333,-393000,98450.00814,30.10333333,13.46000004,-149.5763855,-424.9138489,65,-23.92508316,18.06865311,-46.06588364,0,0
10:39.0,-0.233,-0.051,-0.036,-2.46146915,0.40207265,11.05209455,320000,-160000,-396000,98452.06299,30.1,13.46000004,-149.5763855,-424.9138489,65,-21.74543571,14.86612225,-47.22818375,0,0
10:39.0,-0.3255,-0.0445,-0.0695,-2.4320492,0.8041453,10.90989813,318000,-152500,-401000,98456.56433,30.1,13.82499981,-149.5763855,-424.3263398,66,-21.74543571,14.86612225,-47.22818375,0,0
10:39.0,-0.418,-0.038,-0.103,-2.40262925,1.20621795,10.7677017,316000,-145000,-406000,98461.06567,30.1,14.18999958,-149.5763855,-423.7388306,67,-21.74543571,14.86612225,-47.22818375,0,0
10:39.1,-0.381,-0.0475,-0.112,-2.436952525,0.980665,10.73828175,313000,-136000,-409000,98467.57507,30.1,14.18999958,-149.5763855,-423.7388306,67,-21.74543571,14.86612225,-47.22818375,0,0
10:39.1,-0.344,-0.057,-0.121,-2.4712758,0.75511205,10.7088618,310000,-127000,-412000,98474.08447,30.1,14.18999958,-149.5763855,-423.7388306,67,-21.74543571,14.86612225,-47.22818375,0,0
10:39.2,-0.317,-0.0365,-0.1585,-2.554632325,0.26477955,10.18420603,311000,-116500,-416500,98477.64588,30.1,14.88999939,-179.0878296,-422.5638733,68,-21.74543571,14.86612225,-47.22818375,0,0
10:39.2,-0.29,-0.016,-0.196,-2.63798885,-0.22555295,9.65955025,312000,-106000,-421000,98481.20728,30.1,14.88999939,-179.0878296,-422.5638733,68,-21.74543571,14.86612225,-47.22818375,0,0
10:39.2,-0.255333333,-0.035,-0.178666667,-2.572611183,0.065377667,9.93413645,311666.6667,-99333.33333,-423333.3333,98483.7382,30.09666667,15.2399993,-179.0878296,-421.9721527,69,-21.74543571,14.86612225,-47.22818375,0,0
10:39.3,-0.220666667,-0.054,-0.161333333,-2.507233517,0.356308283,10.20872265,311333.3333,-92666.66667,-425666.6667,98486.26913,30.09333333,15.5899992,-179.0878296,-421.3804321,70,-21.74543571,14.86612225,-47.22818375,0,0
10:39.3,-0.186,-0.073,-0.144,-2.44185585,0.6472389,10.48330885,311000,-86000,-428000,98488.80005,30.09,15.5899992,-179.0878296,-421.3804321,70,-21.74543571,14.86612225,-47.22818375,0,0
10:39.4,-0.179666667,-0.084333333,-0.115666667,-2.474544683,0.7453054,10.39831788,309666.6667,-80000,-430666.6667,98491.88233,30.09,15.93499899,-188.3914948,-420.7928314,70.5,-21.45196152,10.54526472,-45.44534684,0,0
10:39.4,-0.173333333,-0.095666667,-0.087333333,-2.507233517,0.8433719,10.31332692,308333.3333,-74000,-433333.3333,98494.9646,30.09,16.27999878,-197.6951599,-420.2052307,71,-21.15848732,6.224407196,-43.66250992,0,0
10:39.4,-0.167,-0.107,-0.059,-2.53992235,0.9414384,10.22833595,307000,-68000,-436000,98498.04688,30.09,16.96999931,-197.6951599,-419.0217896,73,-21.15848732,6.224407196,-43.66250992,0,0
10:39.5,-0.108,-0.098,-0.0515,-2.574245625,0.61781895,10.4538889,306000,-59000,-438500,98503.13111,30.09,16.96999931,-197.6951599,-419.0217896,73,-21.15848732,6.224407196,-43.66250992,0,0
10:39.5,-0.049,-0.089,-0.044,-2.6085689,0.2941995,10.67944185,305000,-50000,-441000,98508.21533,30.09,16.96999931,-197.6951599,-419.0217896,73,-21.15848732,6.224407196,-43.66250992,0,0
10:39.6,-0.057666667,-0.089,-0.035,-2.61837555,0.268048433,10.98671688,303000,-45333.33333,-443333.3333,98509.05762,30.08666667,17.65999985,-212.7325134,-417.8381042,74,-21.15848732,6.224407196,-43.66250992,0,0
10:39.6,-0.066333333,-0.089,-0.026,-2.6281822,0.241897367,11.29399192,301000,-40666.66667,-445666.6667,98509.8999,30.08333333,17.65999985,-212.7325134,-417.8381042,74,-21.15848732,6.224407196,-43.66250992,0,0
10:39.6,-0.075,-0.089,-0.017,-2.63798885,0.2157463,11.60126695,299000,-36000,-448000,98510.74219,30.08,17.99499989,-212.7325134,-417.242157,75,-21.15848732,6.224407196,-43.66250992,0,0
10:39.7,-0.0605,-0.087,-0.0215,-2.61837555,0.24516625,11.71404343,298000,-33500,-450000,98517.88025,30.08,18.32999992,-212.7325134,-416.6462097,76,-21.15848732,6.224407196,-43.66250992,0,0
10:39.7,-0.046,-0.085,-0.026,-2.59876225,0.2745862,11.8268199,297000,-31000,-452000,98525.01831,30.08,18.32999992,-212.7325134,-416.6462097,76,-21.15848732,6.224407196,-43.66250992,0,0
10:39.8,0.014666667,-0.088666667,-0.023666667,-2.585686717,0.356308283,11.76798,294666.6667,-27666.66667,-453666.6667,98526.92057,30.08,18.98999977,-233.2906799,-415.4458923,77,-19.22857666,3.47424221,-42.15649796,0,0
10:39.8,0.075333333,-0.092333333,-0.021333333,-2.572611183,0.438030367,11.7091401,292333.3333,-24333.33333,-455333.3333,98528.82284,30.08,19.30999947,-233.2906799,-414.837204,78,-19.22857666,3.47424221,-42.15649796,0,0
10:39.8,0.136,-0.096,-0.019,-2.55953565,0.51975245,11.6503002,290000,-21000,-457000,98530.7251,30.08,19.62999916,-233.2906799,-414.2285156,79,-19.22857666,3.47424221,-42.15649796,0,0
10:39.9,0.134666667,-0.091,-0.018,-2.562804533,0.506676917,11.7483667,290000,-21666.66667,-457666.6667,98532.96509,30.08,19.62999916,-233.2906799,-414.2285156,79,-19.22857666,3.47424221,-42.15649796,0,0
10:39.9,0.133333333,-0.086,-0.017,-2.566073417,0.493601383,11.8464332,290000,-22333.33333,-458333.3333,98535.20508,30.08,19.93999958,-246.1845398,-413.6199036,80,-19.22857666,3.47424221,-42.15649796,0,0
10:40.0,0.132,-0.081,-0.016,-2.5693423,0.48052585,11.9444997,290000,-23000,-459000,98537.44507,30.08,20.25,-259.0783997,-413.0112915,81,-19.22857666,3.47424221,-42.15649796,0,0
10:40.0,0.124,-0.089,-0.017,-2.593858925,0.377556025,12.4544455,285500,-19000,-460500,98542.19056,30.075,20.25,-259.0783997,-413.0112915,81,-19.22857666,3.47424221,-42.15649796,0,0
10:40.0,0.116,-0.097,-0.018,-2.61837555,0.2745862,12.9643913,281000,-15000,-462000,98546.93604,30.07,20.85000038,-259.0783997,-411.7939453,82,-19.22857666,3.47424221,-42.15649796,0,0
10:40.1,-0.103,-0.0785,0.037,-2.48108245,-0.1765197,11.23351758,279000,-15000,-463000,98548.29407,30.07,20.85000038,-259.0783997,-411.7939453,82,-17.87349701,4.800199986,-41.58195496,0,0
